Op count:	 Launch:	 Elapsed:
500:	0.00000892073720	0.00000219031120
1000:	0.00001683704540	0.00000535307920
1500:	0.00002461339620	0.00001007379070
2000:	0.00003241311440	0.00001560634710
2500:	0.00004014724280	0.00002209938340
3000:	0.00004775274490	0.00002951446900
3500:	0.00005524881920	0.00003782485380
4000:	0.00006303718700	0.00004763684330
4500:	0.00007056395200	0.00005860492560
5000:	0.00007820061190	0.00006963151690
5500:	0.00008560159840	0.00008227150780
6000:	0.00009312603610	0.00009609152800
